property_type,society,sector,price_in_crores,price_per_sqft,area_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Super Built up area,Built Up area,Carpet area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score,area_room_ratio
flat,ambience creacions,sector 22,2.0,14492.753623188406,1380.0,Carpet area: 1380 (128.21 sq.m.),2.0,2.0,2,9.0,East,Relatively New,,,1380.0,0,0,0,0,0,1,49,690.0
flat,signature global city 63a,sector 63,2.0,12804.097311139565,1562.0,Built Up area: 1540 (143.07 sq.m.),3.0,3.0,2,1.0,North,Undefined,,1540.0,,0,0,0,0,0,1,36,520.6666666666666
flat,godrej oasis,sector 88,1.29,7799.274486094317,1654.0,Super Built up area 1629(151.34 sq.m.)Carpet area: 1628 sq.ft. (151.25 sq.m.),3.0,3.0,3,5.0,not available,New Property,1629.0,,1628.0,0,0,0,0,1,1,65,551.3333333333334
flat,m3m skycity,sector 65,2.85,15590.809628008752,1828.0,Super Built up area 1828(169.83 sq.m.),3.0,3.0,3,43.0,South,Undefined,1828.0,,,0,0,0,0,0,0,115,609.3333333333334
flat,supertech araville,sector 79,1.1,5641.025641025641,1950.0,Carpet area: 1950 (181.16 sq.m.),3.0,3.0,3,1.0,not available,Relatively New,,,1950.0,0,0,0,0,0,0,106,650.0
flat,smart world orchard,sector 61,1.65,13750.0,1200.0,Carpet area: 1200 (111.48 sq.m.),2.0,2.0,2,1.0,not available,Under Construction,,,1200.0,0,0,0,0,0,1,16,600.0
flat,hcbs sports ville,sohna road,0.24,7407.407407407408,324.0,Carpet area: 324 (30.1 sq.m.),1.0,1.0,2,1.0,North,New Property,,,324.0,0,0,0,0,0,1,68,324.0
flat,emaar palm premier,sector 77,2.1,10500.0,2000.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3.0,4.0,3+,11.0,not available,New Property,2000.0,1600.0,1500.0,0,0,0,0,0,0,129,666.6666666666666
flat,godrej nature plus,sector 33,1.9,9849.663037843442,1929.0,Carpet area: 1929 (179.21 sq.m.),3.0,3.0,3+,14.0,not available,New Property,,,1929.0,0,0,0,0,0,1,96,643.0
flat,godrej aria,sector 79,1.1,11482.254697286013,958.0,Super Built up area 89,2.0,2.0,3,9.0,not available,New Property,89.0,,,0,0,0,0,0,1,62,479.0
flat,ramsons kshitij,sector 95,0.32,4500.7032348804505,711.0,Super Built up area 700(65.03 sq.m.)Carpet area: 443.32 sq.ft. (41.19 sq.m.),2.0,2.0,1,8.0,not available,Relatively New,700.0,,443.32,0,0,0,0,1,2,28,355.5
