property_type,society,sector,price_in_crores,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,Built Up area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score
flat,central park flower valley,sohna road,1.65,17441.86046511628,3.0,3.0,0,1.0,Relatively New,1051.0,0,0,0,0,0,1,66
flat,m3m capital,sector 113,2.9,12619.669277632724,4.0,4.0,3+,11.0,New Property,2553.0,0,0,0,0,0,1,49
flat,ansal heights,sector 92,0.6,4545.454545454545,2.0,2.0,3,11.0,Under Construction,1195.0,0,0,0,0,1,1,23
flat,malibu towne,sector 47,2.4,10000.0,3.0,3.0,0,0.0,Moderately Old,2667.0,0,0,0,0,0,0,22
flat,aipl zen residences,sector 70,1.25,9904.912836767036,2.0,2.0,3,19.0,Relatively New,1402.0,0,0,0,0,0,1,0
flat,m3m heights,sector 65,2.15,15003.489183531054,2.0,2.0,3+,28.0,Relatively New,1433.0,0,0,0,0,0,1,48
flat,hcbs sports ville,sohna road,0.29,3972.6027397260273,2.0,2.0,1,4.0,Relatively New,743.0,0,0,0,0,0,1,0
flat,hcbs sports ville,sohna road,0.38,5066.666666666667,2.0,2.0,2,9.0,Relatively New,750.0,0,0,0,0,0,1,0
flat,housing apna enclave,sector 4,0.39,4105.263157894737,2.0,2.0,1,1.0,Relatively New,950.0,0,0,0,0,0,1,0
flat,assotech blith,sector 99,1.6,6666.666666666667,3.0,4.0,0,15.0,New Property,2400.0,0,0,0,0,0,1,51
flat,pareena mi casa,sector 68,1.7,8504.252126063031,4.0,4.0,3,2.0,New Property,1809.0,0,0,0,0,0,1,47
flat,suncity heights,sector 54,3.25,14118.158123370982,3.0,3.0,3+,0.0,Old Property,2558.0,0,0,1,0,0,0,120
flat,lotus homz,sector 111,0.6,8450.704225352112,2.0,2.0,3,9.0,New Property,789.0,0,0,0,0,0,1,52
flat,ramson kshitij sec-95 gurugram,sector 95,0.27,2700.0,2.0,2.0,0,1.0,New Property,1210.0,0,0,0,0,0,1,0
flat,maruti vihar colony,sector 28,0.95,8886.810102899906,2.0,1.0,1,1.0,Old Property,1188.0,0,0,0,0,0,1,59
flat,m3m heights,sector 65,2.65,18492.672714584787,2.0,2.0,3,4.0,New Property,1433.0,0,0,0,0,0,1,38
flat,supertech basera,sector 79,0.36,7643.3121019108285,2.0,2.0,1,4.0,New Property,546.0,0,0,0,0,0,1,60
flat,signature global the millennia,sector 37,0.55,9166.666666666666,2.0,2.0,3,3.0,New Property,543.0,0,0,0,0,0,1,53
flat,m3m soulitude,sector 89,1.32,16923.076923076922,3.0,3.0,3,1.0,New Property,867.0,0,0,0,0,0,1,45
flat,raheja vanya,sector 99,0.59,3975.7412398921833,2.0,2.0,3,1.0,New Property,1133.0,0,0,0,0,1,1,96
flat,"ganpati apartment  2, laxman vihar phase 1",sector 4,0.45,4707.112970711297,2.0,2.0,1,0.0,Relatively New,944.0,0,0,0,0,0,1,46
flat,ramprastha the atrium,sector 37,0.9,6224.066390041494,3.0,3.0,2,13.0,Relatively New,1185.0,0,0,0,0,0,2,37
flat,m3m golfestate,sector 79,1.4,10000.0,2.0,2.0,2,4.0,Relatively New,1556.0,0,0,0,0,0,2,83
flat,eldeco accolade,sohna road,0.95,6542.699724517906,2.0,2.0,3+,6.0,New Property,1786.0,0,0,0,0,0,0,56
